2,Jean.author@gmail.com,David.allen@gmail.com,transfer,10000
0,eric@gmail.com,john@gmail.com,transfer,500
0,eric@gmail.com,john@gmail.com,transfer,200
86,eric@gmail.com,john@gmail.com,transfer,120
59,sui@gmail.com,john@gmail.com,TRANSFER,100
60,sui@gmail.com,john@gmail.com,TRANSFER,100
61,sui@gmail.com,john@gmail.com,TRANSFER,100
62,sui@gmail.com,john@gmail.com,TRANSFER,100
63,sui@gmail.com,john@gmail.com,TRANSFER,100
155,sui@gmail.com,eric123@gmail.com,TRANSFER,200
134,sui@gmail.com,eric123@gmail.com,TRANSFER,500
177,eric123@gmail.com,sui@gmail.com,TRANSFER,200
